City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
18,Castro,BR,75.7,light rain,-24.7911,-50.0119,CHACARA BAILLY
19,Balabac,PH,79.95,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
22,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
24,Pringsewu,ID,73.58,overcast clouds,-5.3582,104.9744,Urban Style by Front One
25,Puerto Ayora,EC,84.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
31,Rikitea,PF,79.02,clear sky,-23.1203,-134.9692,People ThankYou
36,Santa Isabel Do Rio Negro,BR,82.87,moderate rain,-0.4139,-65.0192,Hotel GSA
38,Meulaboh,ID,76.28,overcast clouds,4.1363,96.1285,Kost Pria
40,Koumac,NC,75.83,few clouds,-20.5667,164.2833,Le Monitel
41,Kapaa,US,76.48,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Port Blair,IN,81.59,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
47,Cape Town,ZA,73.27,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
53,Atuona,PF,78.89,few clouds,-9.8,-139.0333,Villa Enata
54,Port Elizabeth,ZA,73.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
55,Lupiro,TZ,72.07,overcast clouds,-8.3833,36.6667,AFRICAN JACCANA EXECUTIVE LODGE
57,Samarai,PG,83.21,broken clouds,-10.6167,150.6667,Nuli Sapi
60,Lorengau,PG,81.84,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
62,Namatanai,PG,78.98,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
63,San Pedro,PH,80.35,overcast clouds,14.35,121.0167,Esquivel's Garden And Resort
64,Avarua,CK,73.45,light rain,-21.2078,-159.775,Paradise Inn
67,Yulara,AU,71.44,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
68,Faanui,PF,81.7,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
73,Sao Filipe,CV,72.03,broken clouds,14.8961,-24.4956,Hotel Xaguate
74,Kavieng,PG,81.97,clear sky,-2.5744,150.7967,Nusa Island Retreat
75,Caborca,MX,76.42,clear sky,30.5838,-111.101,Hotel Los Lagos
76,Bhatkal,IN,82.65,broken clouds,13.9667,74.5667,Nilawar Palace
77,Najran,SA,77.4,clear sky,17.4924,44.1277,محمد هادي ال فطيح
80,Tuburan,PH,80.13,overcast clouds,6.6439,122.2736,GT Site
88,Colonial Heights,US,74.8,clear sky,37.268,-77.4073,Hilton Garden Inn Richmond South/Southpark
89,Vaini,TO,80.55,overcast clouds,-21.2,-175.2,Keleti Beach Resort
92,Padilla,CO,84.88,overcast clouds,3.2204,-76.3139,La Granadina
93,Hilo,US,83.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
96,Butaritari,KI,80.02,light rain,3.0707,172.7902,Isles Sunset Lodge
98,Vila Velha,BR,81.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
