City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,63.81,62,0,3.58,clear sky
1,Albany,US,42.6001,-73.9662,57.94,36,14,4.18,few clouds
2,Nikolskoye,RU,59.7035,30.7861,39.09,95,81,2.98,broken clouds
3,Keffi,NG,8.8486,7.8736,90.5,34,48,5.61,scattered clouds
4,Luderitz,NA,-26.6481,15.1594,70.56,56,3,4.25,clear sky
5,Cherskiy,RU,68.75,161.3,-11.29,98,99,7.07,overcast clouds
6,Yar-Sale,RU,66.8333,70.8333,34.47,100,100,11.7,overcast clouds
7,Cuajinicuilapa,MX,16.4667,-98.4167,94.37,36,48,10.76,scattered clouds
8,Mataura,NZ,-46.1927,168.8643,48.47,99,100,1.43,moderate rain
9,La Baule-Escoublac,FR,47.2922,-2.364,67.66,56,0,6.91,clear sky
10,Dikson,RU,73.5069,80.5464,5.77,83,95,13.78,overcast clouds
11,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,69,13,10.71,few clouds
12,Busselton,AU,-33.65,115.3333,57.04,85,8,9.17,clear sky
13,Shubarshi,KZ,48.5872,57.1869,52.79,80,16,7.58,few clouds
14,Punta Arenas,CL,-53.15,-70.9167,50.11,57,40,19.57,scattered clouds
15,Mount Gambier,AU,-37.8333,140.7667,42.71,87,98,0.0,overcast clouds
16,Bluff,NZ,-46.6,168.3333,48.79,82,100,8.77,overcast clouds
17,Tasiilaq,GL,65.6145,-37.6368,20.79,76,56,2.51,broken clouds
18,Castro,BR,-24.7911,-50.0119,75.7,65,65,8.28,light rain
19,Balabac,PH,7.9868,117.0645,79.95,77,100,10.49,overcast clouds
20,Longyearbyen,SJ,78.2186,15.6401,8.44,66,0,10.36,clear sky
21,Half Moon Bay,US,37.4636,-122.4286,55.42,92,100,29.93,mist
22,Souillac,MU,-20.5167,57.5167,77.38,83,75,13.8,light rain
23,Kaitangata,NZ,-46.2817,169.8464,48.97,92,99,7.85,overcast clouds
24,Pringsewu,ID,-5.3582,104.9744,73.58,95,87,3.91,overcast clouds
25,Puerto Ayora,EC,-0.7393,-90.3518,84.16,90,91,8.01,overcast clouds
26,Hobart,AU,-42.8794,147.3294,50.05,74,39,6.91,scattered clouds
27,Ushuaia,AR,-54.8,-68.3,44.22,92,100,2.89,overcast clouds
28,Qaanaaq,GL,77.484,-69.3632,-0.94,76,49,3.18,scattered clouds
29,Carnarvon,AU,-24.8667,113.6333,66.27,77,38,10.36,scattered clouds
30,Georgetown,MY,5.4112,100.3354,80.53,89,20,5.01,few clouds
31,Rikitea,PF,-23.1203,-134.9692,79.02,72,1,17.98,clear sky
32,Esperance,AU,-33.8667,121.9,60.64,90,100,11.56,overcast clouds
33,Kamenka,RU,51.3223,42.7678,56.62,70,28,13.69,scattered clouds
34,Shangzhi,CN,45.2167,127.9667,37.92,73,100,4.5,overcast clouds
35,Nouadhibou,MR,20.931,-17.0347,69.78,68,53,25.32,sand
36,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,82.87,86,98,3.33,moderate rain
37,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,87,96,11.68,overcast clouds
38,Meulaboh,ID,4.1363,96.1285,76.28,89,85,3.83,overcast clouds
39,Barrow,US,71.2906,-156.7887,24.46,91,99,12.26,overcast clouds
40,Koumac,NC,-20.5667,164.2833,75.83,85,13,4.65,few clouds
41,Kapaa,US,22.0752,-159.319,76.48,89,48,5.01,scattered clouds
42,Port Blair,IN,11.6667,92.75,81.59,73,65,5.17,broken clouds
43,Olovo,BA,44.13,18.5828,44.55,70,38,2.04,scattered clouds
44,Ajdabiya,LY,30.7554,20.2263,64.26,42,0,18.41,clear sky
45,Batemans Bay,AU,-35.7167,150.1833,60.1,83,96,7.58,overcast clouds
46,Ola,RU,59.5833,151.2833,0.91,79,0,9.57,clear sky
47,Cape Town,ZA,-33.9258,18.4232,73.27,57,0,5.01,clear sky
48,Wuda,CN,39.4994,106.7117,43.9,27,67,5.68,broken clouds
49,Torbay,CA,47.6666,-52.7314,37.53,92,100,8.99,overcast clouds
50,Roald,NO,62.5833,6.1333,40.33,75,75,9.22,broken clouds
51,Jamestown,US,42.097,-79.2353,60.51,40,100,1.99,light rain
52,Fukuma,JP,33.7667,130.4667,64.15,89,63,1.95,broken clouds
53,Atuona,PF,-9.8,-139.0333,78.89,79,22,16.6,few clouds
54,Port Elizabeth,ZA,-33.918,25.5701,73.09,87,53,1.99,broken clouds
55,Lupiro,TZ,-8.3833,36.6667,72.07,94,93,1.88,overcast clouds
56,Hervey Bay,AU,-25.2986,152.8535,68.02,93,1,8.01,clear sky
57,Samarai,PG,-10.6167,150.6667,83.21,78,80,12.41,broken clouds
58,Berlevag,NO,70.8578,29.0864,33.75,86,75,5.75,broken clouds
59,Saint-Prosper,CA,46.2117,-70.4811,43.54,81,65,9.55,broken clouds
60,Lorengau,PG,-2.0226,147.2712,81.84,74,18,8.39,few clouds
61,Bredasdorp,ZA,-34.5322,20.0403,66.06,76,0,2.33,clear sky
62,Namatanai,PG,-3.6667,152.4333,78.98,79,57,6.24,broken clouds
63,San Pedro,PH,14.35,121.0167,80.35,85,100,2.82,overcast clouds
64,Avarua,CK,-21.2078,-159.775,73.45,100,40,3.44,light rain
65,Ust-Nera,RU,64.5667,143.2,-13.2,94,30,3.4,scattered clouds
66,Tahlequah,US,35.9154,-94.97,63.09,88,100,5.75,overcast clouds
67,Yulara,AU,-25.2406,130.9889,71.44,26,14,6.91,few clouds
68,Faanui,PF,-16.4833,-151.75,81.7,71,21,17.72,few clouds
69,Ustrzyki Dolne,PL,49.4304,22.5938,37.98,100,74,2.98,broken clouds
70,Hofn,IS,64.2539,-15.2082,35.62,64,100,17.27,light rain
71,Provideniya,RU,64.3833,-173.3,21.97,92,99,11.25,overcast clouds
72,Muzhi,RU,65.3667,64.6667,34.72,100,100,7.78,overcast clouds
73,Sao Filipe,CV,14.8961,-24.4956,72.03,73,66,12.48,broken clouds
74,Kavieng,PG,-2.5744,150.7967,81.97,75,10,11.99,clear sky
75,Caborca,MX,30.5838,-111.101,76.42,28,0,23.64,clear sky
76,Bhatkal,IN,13.9667,74.5667,82.65,83,79,5.48,broken clouds
77,Najran,SA,17.4924,44.1277,77.4,17,1,4.7,clear sky
78,Yellowknife,CA,62.456,-114.3525,12.56,61,77,11.01,broken clouds
79,Plettenberg Bay,ZA,-34.0527,23.3716,69.21,77,43,7.94,scattered clouds
80,Tuburan,PH,6.6439,122.2736,80.13,78,94,10.04,overcast clouds
81,Batagay-Alyta,RU,67.8006,130.4114,-9.89,90,89,5.88,overcast clouds
